C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_077.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_077.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_077.jpg, 0, 0, 0, 7.939345E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_175.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_175.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_175.jpg, 0, 0, 0, 7.814711E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_281.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_281.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_281.jpg, 0, 0, 0, 7.834944E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_386.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_386.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_386.jpg, 0, 0, 0, 7.894421E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_493.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_493.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_493.jpg, 0, 0, 0, 8.078711E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_595.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_595.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_595.jpg, 0, 0, 0, 8.001787E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_708.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_708.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_708.jpg, 0, 0, 0, 7.820864E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_809.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_809.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_809.jpg, 0, 0, 0, 7.963723E-05
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_00_917.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_00_917.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_00_917.jpg, 0, 0.08365352, 0, 0.01237483
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_01_022.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_01_022.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_01_022.jpg, -0.2966948, 0.3803483, 0, 0.3508979
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_01_133.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_01_133.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_01_133.jpg, -0.6500038, 0.7336574, 0, 1.168069
C:\Progs\ML\Udemy\data\IMG\center_2018_11_19_16_45_01_233.jpg, C:\Progs\ML\Udemy\data\IMG\left_2018_11_19_16_45_01_233.jpg, C:\Progs\ML\Udemy\data\IMG\right_2018_11_19_16_45_01_233.jpg, -0.643784, 1, 0, 2.250717
